,country,diversity,year
4495019,COM,80,1999
4500036,CPV,109,1999
4505053,CRI,396,1999
4510070,CUB,189,1999
4515087,CXR,26,1999
4520104,CYM,50,1999
4525121,CYP,611,1999
4530138,CZE,1486,1999
4535155,DEU,2063,1999
4540172,DJI,178,1999
4545189,DMA,330,1999
4550206,DNK,1198,1999
4555223,DOM,301,1999
4560240,DZA,61,1999
4565257,ECU,282,1999
4570274,EGY,660,1999
4575291,ERI,109,1999
4580308,ESP,1685,1999
4585325,EST,788,1999
4590342,ETH,132,1999
4595359,FIN,747,1999
4600376,FJI,286,1999
4605393,FLK,66,1999
4610410,FRA,1735,1999
4615427,FSM,39,1999
4620444,GAB,59,1999
4625461,GBR,1582,1999
4630478,GEO,416,1999
4635495,GHA,227,1999
4640512,GIB,177,1999
4645529,GIN,72,1999
4650546,GMB,180,1999
4655563,GNB,33,1999
4660580,GNQ,22,1999
4665597,GRC,1002,1999
4670614,GRD,157,1999
4675631,GRL,66,1999
4680648,GTM,594,1999
4685665,GUY,156,1999
4690682,HKG,1331,1999
4695699,HND,383,1999
4700716,HRV,810,1999
4705733,HTI,182,1999
4710750,HUN,974,1999
4715767,IDN,1096,1999
4720784,IND,1503,1999
4725801,IOT,57,1999
4730818,IRL,513,1999
4735835,IRN,304,1999
4740852,IRQ,5,1999
4745869,ISL,246,1999
4750886,ISR,763,1999
4755903,ITA,2123,1999
4760920,JAM,234,1999
4765937,JOR,552,1999
4770954,JPN,1274,1999
4775971,KAZ,239,1999
4780988,KEN,590,1999
4786005,KGZ,276,1999
4791022,KHM,231,1999
4796039,KIR,48,1999
4801056,KNA,172,1999
4806073,KOR,1079,1999
4811090,KWT,54,1999
4816107,LAO,191,1999
4821124,LBN,773,1999
4826141,LBR,48,1999
4831158,LBY,51,1999
4836175,LCA,194,1999
4841192,LKA,609,1999
4846209,LTU,805,1999
4851226,LUX,581,1999
4856243,LVA,669,1999
4861260,MAC,403,1999
4866277,MAR,614,1999
4871294,MDA,519,1999
4876311,MDG,363,1999
4881328,MDV,123,1999
4886345,MEX,759,1999
4891362,MHL,37,1999
4896379,MKD,653,1999
4901396,MLI,161,1999
4906413,MLT,318,1999
4911430,MMR,300,1999
4916447,MNG,262,1999
4921464,MNP,90,1999
4926481,MOZ,215,1999
4931498,MRT,72,1999
4936515,MSR,165,1999
4941532,MUS,434,1999
4946549,MWI,225,1999
4951566,MYS,626,1999
4956583,NCL,96,1999
4961600,NER,174,1999
4966617,NFK,32,1999
4971634,NGA,97,1999
4976651,NIC,280,1999
4981668,NIU,55,1999
4986685,NLD,1486,1999
4991702,NOR,548,1999
4996719,NPL,523,1999
5001736,NRU,62,1999
5006753,NZL,680,1999
5011770,OMN,252,1999
5016787,PAK,587,1999
5021804,PAN,775,1999
5026821,PCN,26,1999
5031838,PER,457,1999
5036855,PHL,513,1999
5041872,PLW,40,1999
5046889,PNG,71,1999
5051906,POL,1292,1999
5056923,PRK,769,1999
5061940,PRT,1078,1999
5066957,PRY,227,1999
5071974,PUS,208,1999
5076991,PYF,148,1999
5082008,QAT,54,1999
5087025,ROU,939,1999
5092042,RUS,659,1999
5097059,RWA,78,1999
5102076,S19,1443,1999
5107093,SAU,147,1999
5112110,SCG,1003,1999
5117127,SDN,147,1999
5122144,SEN,351,1999
5127161,SGP,721,1999
5132178,SHN,133,1999
5137195,SLB,44,1999
5142212,SLE,245,1999
5147229,SLV,556,1999
5152246,SOM,98,1999
5157263,SPM,55,1999
5162280,STP,126,1999
5167297,SUR,106,1999
5172314,SVK,905,1999
5177331,SVN,1137,1999
5182348,SWE,1064,1999
5187365,SYC,97,1999
5192382,SYR,344,1999
5197399,TCA,225,1999
5202416,TCD,41,1999
5207433,TGO,267,1999
5212450,THA,1062,1999
5217467,TJK,214,1999
5222484,TKL,186,1999
5227501,TKM,153,1999
5232518,TLS,9,1999
5237535,TON,79,1999
5242552,TTO,325,1999
5247569,TUN,624,1999
5252586,TUR,1278,1999
5257603,TUV,47,1999
5262620,TZA,425,1999
5267637,UGA,185,1999
5272654,UKR,802,1999
5277671,URY,497,1999
5282688,USA,1736,1999
5287705,UZB,251,1999
5292722,VCT,164,1999
5297739,VEN,250,1999
5302756,VGB,143,1999
5307773,VNM,603,1999
5312790,VUT,70,1999
5317807,WLF,21,1999
5322824,WSM,56,1999
5327841,YEM,57,1999
5332858,ZA1,891,1999
5337875,ZMB,305,1999
5342892,ZWE,423,1999
5347909,ABW,28,2000
5352926,AFG,201,2000
5357943,AGO,10,2000
5362960,AIA,192,2000
5367977,ALB,590,2000
5372994,AND,456,2000
5378011,ANT,172,2000
5383028,ARE,332,2000
5388045,ARG,604,2000
5393062,ARM,348,2000
5398079,ASM,165,2000
5403096,ATF,28,2000
5408113,ATG,212,2000
5413130,AUS,730,2000
5418147,AUT,1466,2000
