,country,log_likelihood,pred_num_caps,pred_eci,actual_eci,best_rho,best_nu
147,ABW,1.8949483784866163,42,55.97134902683202,0.38427734375,1,1
148,CUB,1.5759346550859412,31,52.40603377254447,0.395751953125,1,1
149,DMA,2.275327759600781,40,55.26452898552202,0.399658203125,1,1
150,ISL,2.6753165342736143,24,53.322835266428534,0.406494140625,1,1
151,CHN,0.5631584290016713,28,51.24023348934559,0.4111328125,1,1
152,PRK,1.5279176425887262,43,55.14821730862192,0.443603515625,1,1
153,KNA,3.011888614021639,33,56.37766895273417,0.475830078125,1,1
154,LCA,1.3443511501597287,42,55.15614754615765,0.48095703125,1,1
155,AUS,1.3790681264859528,30,55.024135534842166,0.4912109375,1,1
156,LTU,0.9605436212766364,32,53.798729864128724,0.51171875,1,1
157,QAT,4.00742183194063,28,48.70888242039263,0.5400390625,1,1
158,LVA,0.6831549767536709,43,55.13365541233883,0.55615234375,1,1
159,CYP,0.6468068053125593,34,52.71879969452716,0.57568359375,1,1
160,VEN,2.076926087177082,34,54.44787750660233,0.58447265625,1,1
161,IOT,1.7991496882546383,34,54.61843826701585,0.60205078125,1,1
162,ZAF,1.0142147987335024,36,56.40719962555462,0.6240234375,1,1
163,ARM,2.3313430783775804,60,55.37248411550158,0.6298828125,1,1
164,GEO,1.800390298374015,26,51.385209381522834,0.64404296875,1,1
165,AND,1.3430798421223238,36,54.7527309519115,0.70556640625,1,1
166,HRV,0.4498519532764712,38,56.105899302591716,0.712890625,1,1
167,MSR,1.84921144306067,31,57.14093136749242,0.71728515625,1,1
168,ARG,0.8449629782609456,25,53.25527151302514,0.7509765625,1,1
169,NZL,1.0390492116364756,45,55.35007832190097,0.75146484375,1,1
170,MYS,1.226477226503906,41,55.79868883354148,0.75390625,1,1
171,EST,0.6337592919212048,38,56.12364241782246,0.7578125,1,1
172,SLE,2.0330286786660947,43,55.35029628277737,0.791015625,1,1
173,SCG,1.1016947402957211,27,54.152227220920395,0.796875,1,1
174,NFK,2.867844871730709,34,55.53628026939333,0.83251953125,1,1
175,SAU,1.3541167676934216,44,53.181290365505625,0.8369140625,1,1
176,SMR,1.2801485325819844,29,57.30355603148346,0.8662109375,1,1
177,CCK,1.4363852770794128,43,55.24001583356407,0.8779296875,1,1
178,MLT,2.2342716299154817,33,56.58270097186155,0.90771484375,1,1
179,BRA,0.6137891303248912,16,54.654642661795705,0.923828125,1,1
180,STP,1.8501417418448018,42,55.80670132052988,0.92724609375,1,1
181,CXR,4.000489413979198,32,53.80522342685002,0.95458984375,1,1
182,BRB,1.5734868343563977,32,51.1034788493111,0.98486328125,1,1
183,TUV,1.7308386373491516,49,54.6121540210986,0.99951171875,1,1
184,BLR,0.8980316316329763,43,55.802155166194574,1.0029296875,1,1
185,NIU,2.9650406046989173,49,55.885124564713635,1.0869140625,1,1
186,MYT,1.0454054932672068,32,54.34477501186813,1.0927734375,1,1
187,UKR,0.5472408167762801,34,54.50636883699858,1.0966796875,1,1
188,ESP,0.34773464872448123,50,54.70785289111272,1.0986328125,1,1
189,AIA,2.8507526128967395,24,50.32377571104581,1.11328125,1,1
190,SHN,1.6949790799655768,64,55.74900472457365,1.1220703125,1,1
191,MEX,0.8806622265247039,41,54.37574116419809,1.1455078125,1,1
192,POL,0.4497651124332463,28,54.43366190306085,1.173828125,1,1
